Animal_ID,Named,DateTime_Intake,Found_Location,Intake_Type,Intake_Condition,Animal_Type,Sex_upon_Intake,Age_upon_Intake,Breed,Color,DateTime_Outcome,Sex_upon_Outcome,Age_upon_Outcome,binary_outcome,Length_of_Stay,Wild,Younger_than_1_Intake
A815415,N,2020-03-15 12:45:00,Travis (TX),Stray,Normal,Dog,Intact Female,0.08333333333333333,Chihuahua Shorthair,Black/White,2020-03-20 11:19:00,Intact Female,0.08333333333333333,0.0,4,N,Y
A815414,Y,2020-03-15 12:45:00,Travis (TX),Stray,Normal,Dog,Intact Female,5.0,Chihuahua Shorthair,White/Tan,2020-03-24 16:31:00,Spayed Female,5.0,0.0,9,N,N
A815412,Y,2020-03-15 12:45:00,Travis (TX),Stray,Normal,Dog,Intact Female,5.0,Chihuahua Shorthair,White/Tan,2020-03-24 16:31:00,Spayed Female,5.0,0.0,9,N,N
A815411,N,2020-03-15 12:41:00,Austin (TX),Stray,Normal,Cat,Intact Female,2.0,Domestic Medium Hair,Calico,2020-03-27 14:40:00,Intact Female,2.0,0.0,12,N,N
A815409,Y,2020-03-15 12:24:00,Austin (TX),Stray,Normal,Cat,Neutered Male,10.0,Domestic Shorthair,Orange Tabby,2020-03-15 17:44:00,Neutered Male,10.0,0.0,0,N,N
A815408,N,2020-03-15 12:02:00,Austin (TX),Stray,Normal,Cat,Unknown,2.0,Domestic Medium Hair,Other,2020-03-22 12:59:00,Unknown,2.0,0.0,7,N,N
A815407,Y,2020-03-15 12:02:00,Austin (TX),Stray,Injured,Dog,Intact Male,3.0,Chihuahua Shorthair,Tan,2020-03-20 13:27:00,Intact Male,3.0,0.0,5,N,N
A815406,N,2020-03-15 11:47:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,0.16666666666666666,Labrador Retriever Mix,Black,2020-03-16 16:32:00,Spayed Female,0.16666666666666666,0.0,1,N,Y
A815405,N,2020-03-15 11:47:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,0.16666666666666666,Labrador Retriever Mix,Black/White,2020-03-26 12:06:00,Neutered Male,0.16666666666666666,0.0,11,N,Y
A815403,N,2020-03-15 11:47:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,0.16666666666666666,Labrador Retriever Mix,Black/Brown,2020-03-16 16:32:00,Spayed Female,0.16666666666666666,0.0,1,N,Y
A815402,Y,2020-03-15 11:53:00,Austin (TX),Stray,Normal,Dog,Spayed Female,5.0,Pit Bull,Black/White,2020-03-17 17:19:00,Spayed Female,5.0,0.0,2,N,N
A815401,Y,2020-03-15 11:15:00,Vista (TX),Owner Surrender,Normal,Bird,Unknown,1.0,Other,White,2020-03-27 06:59:00,Unknown,1.0,0.0,11,N,N
A815400,Y,2020-03-15 11:15:00,Vista (TX),Owner Surrender,Normal,Bird,Unknown,1.0,Other,Other,2020-03-27 06:57:00,Unknown,1.0,0.0,11,N,N
A815398,N,2020-03-15 10:21:00,Austin (TX),Public Assist,Normal,Cat,Neutered Male,1.0,Domestic Shorthair,White/Orange Tabby,2020-03-15 13:14:00,Neutered Male,1.0,0.0,0,N,N
A815397,Y,2020-03-15 09:54:00,Austin (TX),Stray,Normal,Dog,Intact Male,0.8333333333333334,Other,Black/White,2020-03-18 11:25:00,Intact Male,0.8333333333333334,0.0,3,N,Y
A815390,N,2020-03-14 17:22:00,Austin (TX),Stray,Nursing,Cat,Unknown,0.019230769230769232,Domestic Shorthair,Black,2020-03-15 15:13:00,Unknown,0.019230769230769232,0.0,0,N,Y
A815388,N,2020-03-14 17:18:00,Austin (TX),Wildlife,Sick,Skunk,Unknown,2.0,Other,Black/White,2020-03-16 10:29:00,Unknown,2.0,1.0,1,Y,N
A815378,Y,2020-03-15 11:16:00,Austin (TX),Public Assist,Normal,Dog,Neutered Male,2.0,Other,Black/Tan,2020-03-24 13:47:00,Neutered Male,2.0,0.0,9,N,N
A815377,Y,2020-03-16 18:09:00,Austin (TX),Public Assist,Normal,Dog,Spayed Female,2.0,Chihuahua Shorthair,Red/White,2020-03-23 17:06:00,Spayed Female,2.0,0.0,6,N,N
A815374,N,2020-03-14 15:59:00,Austin (TX),Wildlife,Sick,Bat,Unknown,2.0,Other,Brown,2020-03-14 16:18:00,Unknown,2.0,1.0,0,Y,N
A815373,N,2020-03-14 15:45:00,Austin (TX),Stray,Normal,Cat,Intact Male,1.0,Domestic Shorthair,Black/White,2020-03-17 18:30:00,Intact Male,1.0,0.0,3,N,N
A815372,N,2020-03-14 15:45:00,Austin (TX),Stray,Normal,Cat,Intact Male,1.0,Domestic Shorthair,Black/White,2020-03-17 18:30:00,Intact Male,1.0,0.0,3,N,N
A815371,N,2020-03-14 15:45:00,Austin (TX),Stray,Normal,Cat,Intact Male,1.0,Domestic Shorthair,Black/White,2020-03-17 18:30:00,Intact Male,1.0,0.0,3,N,N
A815370,N,2020-03-14 14:59:00,Austin (TX),Stray,Normal,Dog,Intact Female,0.08333333333333333,Other,Tan,2020-03-18 13:36:00,Intact Female,0.16666666666666666,0.0,3,N,Y
A815369,Y,2020-03-14 15:22:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,0.16666666666666666,Other,Black/Brown,2020-03-16 16:19:00,Neutered Male,0.16666666666666666,0.0,2,N,Y
A815368,Y,2020-03-14 14:56:00,Austin (TX),Stray,Normal,Dog,Neutered Male,1.0,Labrador Retriever,Black/White,2020-03-14 16:57:00,Neutered Male,1.0,0.0,0,N,N
A815367,Y,2020-03-14 14:56:00,Austin (TX),Stray,Normal,Dog,Neutered Male,1.0,Labrador Retriever,Black/White,2020-03-14 16:56:00,Neutered Male,1.0,0.0,0,N,N
A815359,Y,2020-03-14 13:55:00,Austin (TX),Stray,Normal,Dog,Spayed Female,1.0,Other,Red,2020-03-14 15:11:00,Spayed Female,1.0,0.0,0,N,N
A815358,Y,2020-03-14 13:40:00,Austin (TX),Stray,Normal,Dog,Spayed Female,10.0,Australian Cattle Dog,Black,2020-03-17 13:15:00,Spayed Female,10.0,0.0,2,N,N
