Animal_ID,Named,DateTime_Intake,Found_Location,Intake_Type,Intake_Condition,Animal_Type,Sex_upon_Intake,Age_upon_Intake,Breed,Color,DateTime_Outcome,Sex_upon_Outcome,Age_upon_Outcome,binary_outcome,Length_of_Stay,Wild,Younger_than_1_Intake
A773431,Y,2018-05-31 20:22:00,Austin (TX),Stray,Normal,Dog,Intact Male,2.0,Other,Brown/White,2018-06-06 21:55:00,Neutered Male,2.0,0.0,6,N,N
A672724,Y,2014-02-15 16:32:00,Austin (TX),Stray,Normal,Dog,Intact Male,3.0,Other,Other,2014-02-20 17:26:00,Neutered Male,3.0,0.0,5,N,N
A679569,N,2014-05-23 10:00:00,Austin (TX),Stray,Sick,Dog,Intact Male,0.16666666666666666,Labrador Retriever Mix,Black/White,2014-05-29 11:32:00,Neutered Male,0.16666666666666666,0.0,6,N,Y
A681589,N,2014-06-17 23:23:00,Austin (TX),Public Assist,Normal,Cat,Intact Female,1.0,Domestic Medium Hair,Other,2014-06-21 09:00:00,Intact Female,2.0,0.0,3,N,N
A646245,Y,2017-02-15 17:49:00,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,4.0,Domestic Shorthair,Black,2017-03-10 12:18:00,Neutered Male,4.0,0.0,22,N,N
A686594,N,2014-08-24 08:31:00,Austin (TX),Stray,Normal,Dog,Intact Male,0.3333333333333333,Other,Black/White,2014-08-31 11:39:00,Intact Male,0.3333333333333333,0.0,7,N,Y
A695532,Y,2015-01-17 14:42:00,Austin (TX),Stray,Normal,Dog,Neutered Male,2.0,Other,Brown/White,2015-01-17 17:22:00,Neutered Male,2.0,0.0,0,N,N
A776533,N,2019-08-05 11:47:00,Austin (TX),Stray,Normal,Dog,Neutered Male,3.0,Other,White/Tan,2019-08-09 15:45:00,Neutered Male,3.0,0.0,4,N,N
A710824,Y,2015-08-28 12:50:00,Austin (TX),Stray,Injured,Dog,Intact Female,1.0,Other,Tan,2015-09-27 12:35:00,Spayed Female,1.0,0.0,29,N,N
A784873,N,2018-11-21 11:57:00,Austin (TX),Stray,Sick,Cat,Intact Female,0.08333333333333333,Domestic Shorthair,Other,2018-11-25 14:17:00,Intact Female,0.08333333333333333,0.0,4,N,Y
A741009,Y,2016-12-26 17:21:00,Hills (TX),Stray,Normal,Dog,Intact Male,1.0,Other,Black/White,2016-12-27 11:11:00,Intact Male,1.0,0.0,0,N,N
A803934,Y,2019-09-23 18:38:00,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,5.0,Other,White/Tan,2019-10-08 15:50:00,Spayed Female,5.0,0.0,14,N,N
A679229,N,2014-05-17 16:09:00,Austin (TX),Stray,Sick,Dog,Intact Female,0.25,Chihuahua Shorthair Mix,Black/White,2014-05-17 18:39:00,Intact Female,0.25,0.0,0,N,Y
A778724,Y,2018-08-19 13:01:00,Austin (TX),Stray,Normal,Dog,Intact Male,0.08333333333333333,Labrador Retriever Mix,Brown,2018-08-24 20:53:00,Neutered Male,0.16666666666666666,0.0,5,N,Y
A718909,Y,2016-01-09 12:11:00,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,2.0,Domestic Medium Hair,Black/White,2016-04-26 11:40:00,Spayed Female,2.0,0.0,107,N,N
A779573,Y,2018-09-03 11:06:00,Valle (TX),Owner Surrender,Normal,Dog,Spayed Female,6.0,Other,Other,2018-09-24 00:00:00,Spayed Female,7.0,0.0,20,N,N
A696995,Y,2015-03-08 13:07:00,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,12.0,Other,Other,2015-03-12 12:47:00,Neutered Male,12.0,0.0,3,N,N
A449968,Y,2015-10-30 14:49:00,Pflugerville (TX),Owner Surrender,Normal,Cat,Spayed Female,10.0,Domestic Shorthair,Brown Tabby,2015-12-19 12:41:00,Spayed Female,10.0,0.0,49,N,N
A701036,N,2015-04-23 10:12:00,Austin (TX),Stray,Feral,Cat,Intact Male,3.0,American Shorthair Mix,Black/White,2015-05-11 11:33:00,Intact Male,3.0,0.0,18,N,N
A765390,N,2018-01-19 09:00:00,Austin (TX),Wildlife,Injured,Raccoon,Unknown,2.0,Other,Other,2018-01-21 09:41:00,Unknown,2.0,1.0,2,Y,N
A696579,Y,2015-02-07 14:59:00,Austin (TX),Stray,Normal,Dog,Intact Male,5.0,Chihuahua Shorthair Mix,Brown,2015-02-17 14:02:00,Neutered Male,5.0,0.0,9,N,N
A667332,N,2013-11-16 12:07:00,Austin (TX),Stray,Normal,Cat,Unknown,2.0,Domestic Shorthair,Brown Tabby,2013-11-18 15:36:00,Unknown,2.0,0.0,2,N,N
A385442,Y,2014-01-11 15:15:00,Austin (TX),Stray,Normal,Dog,Neutered Male,10.0,Labrador Retriever Mix,Other,2014-01-11 16:00:00,Neutered Male,10.0,0.0,0,N,N
A738794,N,2016-11-21 10:21:00,Austin (TX),Stray,Normal,Dog,Intact Male,2.0,Miniature Poodle Mix,White,2016-11-26 13:05:00,Intact Male,2.0,0.0,5,N,N
A762224,Y,2017-11-16 12:28:00,Austin (TX),Owner Surrender,Normal,Dog,Unknown,1.0,Other,Black/Tan,2017-11-16 18:46:00,Unknown,1.0,0.0,0,N,N
A667076,Y,2013-11-12 13:10:00,Austin (TX),Stray,Normal,Dog,Intact Female,1.0,Pit Bull Mix,Brown/White,2014-04-07 17:41:00,Spayed Female,1.0,0.0,130,N,N
A809939,Y,2019-12-04 13:25:00,Austin (TX),Stray,Normal,Rabbit Sh,Intact Male,2.0,Other,Brown,2020-01-03 15:13:00,Neutered Male,2.0,0.0,30,N,N
A755159,Y,2018-02-26 14:50:00,Austin (TX),Stray,Normal,Dog,Neutered Male,0.75,Chihuahua Shorthair Mix,Tan,2018-03-05 17:41:00,Neutered Male,0.8333333333333334,0.0,7,N,Y
A776561,N,2018-07-15 17:24:00,Austin (TX),Wildlife,Sick,Raccoon,Unknown,1.0,Other,Other,2018-07-15 19:19:00,Unknown,1.0,1.0,0,Y,N
A757581,N,2017-09-04 11:25:00,Austin (TX),Stray,Normal,Cat,Intact Male,0.08333333333333333,Domestic Medium Hair,Blue/White,2017-10-15 12:56:00,Intact Male,0.16666666666666666,1.0,41,N,Y
A756984,Y,2017-08-28 16:34:00,Austin (TX),Stray,Normal,Cat,Intact Male,0.08333333333333333,Domestic Shorthair,Brown Tabby,2017-09-01 14:36:00,Intact Male,0.16666666666666666,0.0,3,N,Y
A763599,Y,2017-12-11 16:36:00,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,4.0,Domestic Shorthair,Other,2018-04-20 13:50:00,Neutered Male,4.0,0.0,129,N,N
A798884,N,2019-07-01 15:43:00,Austin (TX),Stray,Normal,Cat,Unknown,0.5833333333333334,Other,Other,2019-07-05 18:34:00,Unknown,0.6666666666666666,0.0,4,N,Y
A721919,N,2016-03-07 11:29:00,Austin (TX),Stray,Normal,Cat,Intact Male,1.0,Domestic Shorthair,Black/White,2016-03-12 18:58:00,Neutered Male,1.0,0.0,5,N,N
A766408,Y,2018-02-08 13:50:00,Austin (TX),Stray,Normal,Dog,Intact Female,1.0,Pit Bull Mix,Black/White,2018-02-17 16:16:00,Spayed Female,1.0,0.0,9,N,N
A667138,Y,2013-11-13 19:32:00,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,11.0,Domestic Medium Hair,White,2013-11-22 14:18:00,Neutered Male,11.0,0.0,8,N,N
A710712,Y,2015-08-26 16:08:00,Austin (TX),Stray,Normal,Dog,Neutered Male,1.0,Other,Other,2015-08-28 15:58:00,Neutered Male,1.0,0.0,1,N,N
A796772,N,2019-06-05 10:58:00,Austin (TX),Stray,Normal,Cat,Intact Male,0.0576923076923077,Domestic Shorthair,Orange Tabby,2019-07-14 14:32:00,Intact Male,0.16666666666666666,0.0,39,N,Y
A806996,N,2019-10-19 12:40:00,Travis (TX),Owner Surrender,Normal,Dog,Intact Female,0.16666666666666666,Labrador Retriever,White/Tan,2019-10-20 17:05:00,Spayed Female,0.16666666666666666,0.0,1,N,Y
A728467,Y,2016-06-04 15:44:00,Travis (TX),Stray,Normal,Dog,Spayed Female,8.0,Pit Bull Mix,Other,2016-06-29 13:21:00,Spayed Female,8.0,0.0,24,N,N
A629687,Y,2014-10-22 12:47:00,Austin (TX),Stray,Normal,Dog,Neutered Male,2.0,Other,Other,2014-10-25 13:52:00,Neutered Male,2.0,0.0,3,N,N
A804061,Y,2019-09-10 11:45:00,Austin (TX),Stray,Normal,Cat,Intact Male,0.07692307692307693,Domestic Shorthair,Blue Tabby,2019-10-24 16:41:00,Neutered Male,0.16666666666666666,0.0,44,N,Y
A788712,N,2019-02-07 13:56:00,Travis (TX),Stray,Normal,Dog,Intact Male,1.0,Cairn Terrier Mix,Other,2019-02-11 16:59:00,Neutered Male,1.0,0.0,4,N,N
A711750,Y,2015-09-11 15:48:00,Austin (TX),Stray,Normal,Dog,Neutered Male,2.0,Other,Brown Brindle/White,2015-09-11 18:45:00,Neutered Male,2.0,0.0,0,N,N
A726338,N,2016-05-09 17:03:00,Manor (TX),Stray,Normal,Dog,Intact Male,0.08333333333333333,Great Pyrenees Mix,Other,2016-06-22 18:41:00,Neutered Male,0.16666666666666666,0.0,44,N,Y
A699696,Y,2015-04-01 11:41:00,Austin (TX),Stray,Normal,Dog,Spayed Female,3.0,Other,Black/White,2015-04-02 15:56:00,Spayed Female,3.0,0.0,1,N,N
A681561,N,2014-06-18 14:46:00,Austin (TX),Stray,Normal,Cat,Intact Male,0.08333333333333333,Domestic Shorthair,White/Orange Tabby,2014-06-19 13:20:00,Intact Male,0.08333333333333333,0.0,0,N,Y
A693430,Y,2014-12-08 13:29:00,Austin (TX),Public Assist,Normal,Dog,Spayed Female,7.0,Other,Black,2014-12-17 12:49:00,Spayed Female,7.0,0.0,8,N,N
A785697,Y,2018-12-10 11:46:00,Austin (TX),Public Assist,Normal,Dog,Spayed Female,5.0,Boxer Mix,Brown/White,2018-12-16 21:42:00,Spayed Female,5.0,0.0,6,N,N
